
'0:00.588',-0.045,-0.145,-0.100,0.095,0.028,-0.123,0.003,-0.143,-0.230,-0.273,-0.165,-0.113
'0:00.589',-0.035,-0.145,-0.108,0.090,0.035,-0.125,0.003,-0.135,-0.220,-0.268,-0.168,-0.115
'0:00.590',-0.028,-0.148,-0.120,0.088,0.045,-0.133,0.005,-0.118,-0.213,-0.268,-0.170,-0.118
'0:00.591',-0.023,-0.153,-0.128,0.088,0.053,-0.140,0.010,-0.098,-0.205,-0.270,-0.173,-0.115
'0:00.592',-0.020,-0.150,-0.130,0.085,0.055,-0.140,0.010,-0.075,-0.188,-0.263,-0.173,-0.113
'0:00.593',-0.013,-0.143,-0.128,0.078,0.058,-0.135,0.010,-0.050,-0.163,-0.248,-0.173,-0.118
'0:00.594',-0.003,-0.133,-0.130,0.068,0.063,-0.130,0.015,-0.015,-0.125,-0.235,-0.173,-0.123
'0:00.595',0.008,-0.123,-0.130,0.058,0.068,-0.125,0.030,0.033,-0.075,-0.223,-0.170,-0.123
'0:00.596',0.010,-0.113,-0.123,0.050,0.065,-0.118,0.053,0.085,-0.005,-0.195,-0.163,-0.118
'0:00.597',0.013,-0.100,-0.110,0.043,0.060,-0.105,0.070,0.133,0.068,-0.160,-0.153,-0.113
'0:00.598',0.015,-0.090,-0.105,0.038,0.060,-0.098,0.080,0.178,0.128,-0.130,-0.143,-0.113
'0:00.599',0.023,-0.083,-0.105,0.030,0.063,-0.093,0.085,0.220,0.170,-0.110,-0.133,-0.108
'0:00.600',0.033,-0.068,-0.100,0.018,0.065,-0.083,0.088,0.273,0.228,-0.075,-0.118,-0.095
'0:00.601',0.045,-0.040,-0.083,-0.003,0.063,-0.060,0.093,0.338,0.320,-0.013,-0.085,-0.070
'0:00.602',0.058,-0.003,-0.060,-0.028,0.058,-0.030,0.103,0.410,0.430,0.075,-0.035,-0.035
'0:00.603',0.070,0.035,-0.035,-0.053,0.053,0.000,0.110,0.465,0.525,0.170,0.033,0.010
'0:00.604',0.083,0.080,-0.003,-0.080,0.043,0.038,0.113,0.498,0.603,0.273,0.113,0.058
'0:00.605',0.090,0.138,0.048,-0.113,0.023,0.090,0.105,0.508,0.680,0.388,0.198,0.108
'0:00.606',0.098,0.210,0.113,-0.153,-0.008,0.160,0.100,0.500,0.763,0.518,0.290,0.165
'0:00.607',0.098,0.290,0.193,-0.193,-0.048,0.240,0.103,0.453,0.805,0.645,0.388,0.235
'0:00.608',0.088,0.375,0.288,-0.230,-0.100,0.330,0.110,0.345,0.768,0.753,0.488,0.318
'0:00.609',0.070,0.468,0.398,-0.268,-0.165,0.433,0.108,0.173,0.658,0.838,0.593,0.400
'0:00.610',0.055,0.570,0.515,-0.313,-0.230,0.543,0.078,-0.028,0.523,0.928,0.708,0.485
'0:00.611',0.050,0.680,0.630,-0.365,-0.290,0.655,0.020,-0.233,0.395,1.043,0.835,0.580
'0:00.612',0.045,0.790,0.745,-0.418,-0.350,0.768,-0.053,-0.430,0.275,1.168,0.965,0.685
'0:00.613',0.035,0.893,0.858,-0.463,-0.410,0.875,-0.125,-0.633,0.148,1.278,1.085,0.785
'0:00.614',0.025,0.998,0.973,-0.510,-0.473,0.985,-0.203,-0.843,0.015,1.375,1.203,0.873
'0:00.615',0.023,1.118,1.095,-0.570,-0.535,1.105,-0.308,-1.068,-0.120,1.485,1.330,0.958
'0:00.616',0.028,1.258,1.230,-0.643,-0.600,1.243,-0.448,-1.308,-0.253,1.625,1.475,1.055
'0:00.617',0.035,1.388,1.353,-0.710,-0.658,1.368,-0.603,-1.543,-0.380,1.770,1.618,1.155
'0:00.618',0.043,1.450,1.408,-0.745,-0.683,1.428,-0.725,-1.718,-0.475,1.913,1.735,1.235
'0:00.619',0.048,1.410,1.360,-0.728,-0.655,1.383,-0.785,-1.800,-0.518,2.058,1.823,1.275
'0:00.620',0.053,1.298,1.245,-0.675,-0.595,1.270,-0.783,-1.805,-0.520,2.205,1.890,1.280
'0:00.621',0.048,1.185,1.138,-0.615,-0.545,1.160,-0.753,-1.793,-0.528,2.328,1.940,1.268
'0:00.622',0.033,1.113,1.080,-0.573,-0.523,1.095,-0.730,-1.790,-0.558,2.413,1.978,1.260
'0:00.623',0.020,1.060,1.043,-0.540,-0.510,1.050,-0.738,-1.790,-0.598,2.470,2.003,1.260
'0:00.624',0.018,0.993,0.975,-0.505,-0.478,0.983,-0.763,-1.763,-0.620,2.498,2.003,1.248
'0:00.625',0.028,0.890,0.863,-0.458,-0.418,0.875,-0.790,-1.713,-0.640,2.465,1.955,1.203
'0:00.626',0.043,0.770,0.728,-0.405,-0.343,0.748,-0.815,-1.645,-0.665,2.373,1.865,1.135
'0:00.627',0.058,0.643,0.585,-0.348,-0.265,0.613,-0.853,-1.570,-0.688,2.270,1.765,1.065
'0:00.628',0.070,0.505,0.435,-0.288,-0.183,0.470,-0.893,-1.475,-0.690,2.178,1.665,0.998
'0:00.629',0.083,0.350,0.270,-0.215,-0.093,0.310,-0.913,-1.368,-0.685,2.038,1.523,0.900
'0:00.630',0.090,0.183,0.093,-0.135,0.000,0.138,-0.885,-1.243,-0.683,1.820,1.315,0.755
'0:00.631',0.095,0.008,-0.088,-0.053,0.093,-0.040,-0.820,-1.108,-0.673,1.600,1.088,0.590
'0:00.632',0.103,-0.150,-0.253,0.023,0.178,-0.200,-0.753,-0.963,-0.635,1.453,0.900,0.450
'0:00.633',0.108,-0.270,-0.378,0.080,0.243,-0.323,-0.705,-0.843,-0.620,1.273,0.735,0.343
'0:00.634',0.103,-0.343,-0.445,0.120,0.273,-0.393,-0.675,-0.768,-0.695,0.883,0.513,0.233
'0:00.635',0.085,-0.388,-0.470,0.153,0.278,-0.428,-0.648,-0.740,-0.858,0.283,0.220,0.103
'0:00.636',0.060,-0.425,-0.485,0.183,0.273,-0.455,-0.605,-0.715,-1.000,-0.268,-0.043,-0.015
'0:00.637',0.040,-0.463,-0.503,0.210,0.273,-0.483,-0.545,-0.673,-1.040,-0.543,-0.188,-0.090
'0:00.638',0.030,-0.485,-0.515,0.228,0.273,-0.500,-0.478,-0.615,-0.985,-0.575,-0.230,-0.125
'0:00.639',0.023,-0.485,-0.508,0.233,0.263,-0.495,-0.418,-0.578,-0.915,-0.548,-0.250,-0.148
'0:00.640',0.013,-0.468,-0.480,0.228,0.245,-0.473,-0.383,-0.565,-0.860,-0.538,-0.270,-0.165
'0:00.641',0.003,-0.450,-0.453,0.223,0.228,-0.450,-0.365,-0.563,-0.810,-0.503,-0.270,-0.173
'0:00.642',-0.003,-0.430,-0.428,0.215,0.213,-0.428,-0.350,-0.550,-0.743,-0.415,-0.235,-0.165
'0:00.643',-0.005,-0.408,-0.403,0.205,0.200,-0.405,-0.325,-0.528,-0.673,-0.333,-0.200,-0.155
'0:00.644',-0.003,-0.378,-0.375,0.190,0.185,-0.375,-0.300,-0.498,-0.605,-0.283,-0.180,-0.145
'0:00.645',0.003,-0.343,-0.345,0.170,0.173,-0.343,-0.283,-0.463,-0.535,-0.243,-0.155,-0.135
'0:00.646',0.013,-0.303,-0.315,0.145,0.163,-0.308,-0.265,-0.415,-0.458,-0.178,-0.115,-0.115
'0:00.647',0.023,-0.260,-0.283,0.118,0.153,-0.270,-0.245,-0.365,-0.388,-0.118,-0.078,-0.090
'0:00.648',0.028,-0.215,-0.243,0.093,0.135,-0.228,-0.225,-0.323,-0.328,-0.080,-0.053,-0.068
'0:00.649',0.025,-0.175,-0.200,0.073,0.113,-0.185,-0.210,-0.293,-0.278,-0.058,-0.035,-0.050
'0:00.650',0.023,-0.140,-0.163,0.058,0.093,-0.150,-0.198,-0.265,-0.233,-0.030,-0.013,-0.038
'0:00.651',0.020,-0.120,-0.140,0.048,0.080,-0.128,-0.180,-0.240,-0.208,-0.015,0.000,-0.033
'0:00.652',0.020,-0.108,-0.128,0.043,0.073,-0.118,-0.155,-0.210,-0.188,-0.015,-0.003,-0.033
'0:00.653',0.018,-0.100,-0.118,0.040,0.068,-0.110,-0.133,-0.185,-0.168,-0.020,-0.010,-0.033
'0:00.654',0.015,-0.090,-0.105,0.038,0.060,-0.098,-0.110,-0.155,-0.140,-0.018,-0.010,-0.030
'0:00.655',0.010,-0.080,-0.093,0.035,0.050,-0.085,-0.088,-0.128,-0.120,-0.018,-0.008,-0.030
'0:00.656',0.008,-0.073,-0.080,0.033,0.043,-0.075,-0.068,-0.103,-0.105,-0.025,-0.010,-0.030
'0:00.657',0.003,-0.070,-0.073,0.035,0.035,-0.070,-0.055,-0.083,-0.093,-0.030,-0.013,-0.030
'0:00.658',-0.005,-0.065,-0.060,0.035,0.028,-0.063,-0.048,-0.060,-0.068,-0.023,-0.010,-0.025
'0:00.659',-0.010,-0.058,-0.048,0.035,0.020,-0.053,-0.038,-0.040,-0.050,-0.020,-0.010,-0.023
'0:00.660',-0.013,-0.050,-0.038,0.030,0.013,-0.043,-0.023,-0.020,-0.038,-0.025,-0.018,-0.020
'0:00.661',-0.013,-0.048,-0.035,0.028,0.010,-0.038,-0.010,-0.010,-0.033,-0.035,-0.030,-0.023
'0:00.662',-0.013,-0.045,-0.033,0.028,0.010,-0.038,0.000,0.000,-0.023,-0.033,-0.033,-0.025
'0:00.663',-0.013,-0.048,-0.033,0.030,0.010,-0.040,0.008,0.010,-0.015,-0.035,-0.035,-0.030
'0:00.664',-0.013,-0.048,-0.035,0.030,0.010,-0.040,0.018,0.023,-0.010,-0.043,-0.043,-0.038
'0:00.665',-0.013,-0.050,-0.038,0.030,0.013,-0.043,0.025,0.030,-0.010,-0.055,-0.053,-0.045
'0:00.666',-0.010,-0.050,-0.040,0.030,0.015,-0.045,0.030,0.033,-0.005,-0.058,-0.055,-0.048
'0:00.667',-0.010,-0.050,-0.040,0.030,0.015,-0.048,0.035,0.033,-0.005,-0.060,-0.053,-0.053
'0:00.668',-0.005,-0.048,-0.043,0.025,0.018,-0.045,0.040,0.035,-0.005,-0.065,-0.053,-0.055
'0:00.669',0.000,-0.048,-0.048,0.023,0.023,-0.045,0.040,0.035,-0.008,-0.073,-0.058,-0.058
'0:00.670',0.003,-0.045,-0.048,0.020,0.025,-0.045,0.035,0.038,0.000,-0.070,-0.060,-0.055
'0:00.671',0.000,-0.045,-0.045,0.023,0.023,-0.045,0.033,0.040,0.005,-0.068,-0.060,-0.053
'0:00.672',-0.005,-0.045,-0.040,0.025,0.018,-0.043,0.038,0.050,0.013,-0.065,-0.058,-0.048
'0:00.673',-0.008,-0.045,-0.038,0.028,0.013,-0.043,0.043,0.058,0.018,-0.065,-0.060,-0.045
'0:00.674',-0.010,-0.048,-0.038,0.028,0.013,-0.043,0.043,0.063,0.025,-0.063,-0.065,-0.045
'0:00.675',-0.015,-0.053,-0.038,0.033,0.013,-0.045,0.043,0.063,0.028,-0.065,-0.070,-0.048
'0:00.676',-0.020,-0.058,-0.038,0.038,0.008,-0.048,0.045,0.073,0.035,-0.065,-0.070,-0.053
'0:00.677',-0.025,-0.060,-0.038,0.043,0.005,-0.048,0.050,0.083,0.043,-0.063,-0.068,-0.055
'0:00.678',-0.023,-0.058,-0.035,0.040,0.005,-0.045,0.053,0.090,0.050,-0.060,-0.063,-0.055
'0:00.679',-0.018,-0.053,-0.035,0.035,0.008,-0.043,0.050,0.085,0.048,-0.068,-0.063,-0.055
'0:00.680',-0.015,-0.050,-0.035,0.033,0.010,-0.043,0.050,0.083,0.048,-0.075,-0.068,-0.053
'0:00.681',-0.015,-0.055,-0.038,0.035,0.010,-0.045,0.053,0.083,0.050,-0.075,-0.070,-0.053
'0:00.682',-0.018,-0.058,-0.040,0.038,0.010,-0.048,0.058,0.090,0.063,-0.065,-0.065,-0.050
'0:00.683',-0.018,-0.058,-0.040,0.038,0.010,-0.048,0.060,0.093,0.063,-0.065,-0.060,-0.048
'0:00.684',-0.015,-0.050,-0.035,0.033,0.010,-0.043,0.060,0.093,0.058,-0.068,-0.058,-0.048
'0:00.685',-0.010,-0.045,-0.033,0.028,0.010,-0.040,0.060,0.085,0.050,-0.070,-0.063,-0.050
'0:00.686',-0.010,-0.043,-0.033,0.025,0.010,-0.038,0.065,0.088,0.058,-0.063,-0.060,-0.053
'0:00.687',-0.015,-0.048,-0.033,0.030,0.010,-0.040,0.070,0.093,0.065,-0.058,-0.055,-0.055
'0:00.688',-0.018,-0.050,-0.033,0.033,0.008,-0.040,0.075,0.103,0.073,-0.058,-0.048,-0.053
'0:00.689',-0.015,-0.050,-0.033,0.030,0.008,-0.040,0.073,0.103,0.070,-0.060,-0.050,-0.050
'0:00.690',-0.010,-0.043,-0.033,0.025,0.010,-0.038,0.065,0.105,0.075,-0.053,-0.055,-0.048
'0:00.691',-0.008,-0.038,-0.030,0.023,0.010,-0.035,0.058,0.105,0.078,-0.050,-0.060,-0.045
'0:00.692',-0.010,-0.035,-0.025,0.023,0.008,-0.030,0.058,0.113,0.083,-0.048,-0.055,-0.040
'0:00.693',-0.013,-0.035,-0.023,0.025,0.005,-0.030,0.060,0.115,0.083,-0.048,-0.050,-0.038
'0:00.694',-0.010,-0.035,-0.025,0.023,0.008,-0.030,0.065,0.118,0.088,-0.040,-0.048,-0.035
'0:00.695',-0.008,-0.038,-0.030,0.023,0.010,-0.033,0.070,0.115,0.088,-0.040,-0.050,-0.038
'0:00.696',-0.008,-0.035,-0.028,0.020,0.010,-0.030,0.075,0.118,0.095,-0.043,-0.048,-0.040
'0:00.697',-0.008,-0.033,-0.025,0.020,0.008,-0.028,0.075,0.123,0.098,-0.043,-0.045,-0.043
'0:00.698',-0.008,-0.028,-0.020,0.018,0.005,-0.023,0.075,0.128,0.105,-0.035,-0.043,-0.043
'0:00.699',-0.008,-0.028,-0.020,0.018,0.005,-0.023,0.075,0.128,0.103,-0.033,-0.043,-0.040
'0:00.700',-0.008,-0.028,-0.020,0.018,0.005,-0.023,0.078,0.128,0.103,-0.033,-0.043,-0.035
'0:00.701',-0.010,-0.030,-0.020,0.018,0.003,-0.023,0.080,0.128,0.103,-0.033,-0.040,-0.033
'0:00.702',-0.010,-0.028,-0.018,0.018,0.003,-0.023,0.080,0.135,0.110,-0.025,-0.035,-0.033
'0:00.703',-0.008,-0.028,-0.020,0.018,0.005,-0.023,0.080,0.140,0.118,-0.023,-0.035,-0.033
'0:00.704',-0.008,-0.028,-0.020,0.018,0.005,-0.023,0.080,0.140,0.120,-0.025,-0.035,-0.030
'0:00.705',-0.008,-0.025,-0.020,0.015,0.005,-0.020,0.083,0.135,0.120,-0.028,-0.040,-0.028
'0:00.706',-0.003,-0.018,-0.015,0.010,0.005,-0.015,0.080,0.133,0.120,-0.025,-0.043,-0.028
'0:00.707',0.003,-0.010,-0.013,0.003,0.008,-0.013,0.075,0.133,0.123,-0.020,-0.045,-0.030
'0:00.708',0.005,-0.010,-0.015,0.003,0.010,-0.013,0.073,0.135,0.123,-0.023,-0.045,-0.033
'0:00.709',0.003,-0.013,-0.018,0.005,0.010,-0.015,0.070,0.138,0.125,-0.025,-0.038,-0.033
'0:00.710',0.003,-0.013,-0.015,0.005,0.008,-0.013,0.070,0.140,0.125,-0.023,-0.033,-0.033
'0:00.711',0.005,-0.005,-0.013,0.000,0.008,-0.008,0.070,0.143,0.130,-0.015,-0.030,-0.033
'0:00.712',0.008,-0.005,-0.013,0.000,0.010,-0.008,0.073,0.145,0.135,-0.013,-0.030,-0.033
'0:00.713',0.005,-0.008,-0.013,0.003,0.010,-0.010,0.078,0.145,0.140,-0.005,-0.028,-0.028
'0:00.714',0.003,-0.013,-0.015,0.005,0.008,-0.013,0.080,0.150,0.143,0.003,-0.025,-0.025
'0:00.715',0.003,-0.008,-0.008,0.003,0.003,-0.005,0.078,0.153,0.143,0.010,-0.023,-0.025
'0:00.716',0.003,-0.003,-0.005,0.000,0.003,-0.003,0.078,0.158,0.150,0.008,-0.025,-0.030
'0:00.717',0.003,0.003,0.000,-0.003,0.003,0.000,0.080,0.153,0.155,0.013,-0.020,-0.025
'0:00.718',0.005,-0.003,-0.008,0.000,0.005,-0.005,0.088,0.155,0.165,0.015,-0.018,-0.020
'0:00.719',0.005,0.000,-0.005,-0.003,0.005,-0.003,0.090,0.150,0.163,0.025,-0.010,-0.013
'0:00.720',0.005,-0.003,-0.008,0.000,0.005,-0.005,0.090,0.163,0.163,0.025,-0.018,-0.015
'0:00.721',0.003,0.003,0.000,0.000,0.000,0.003,0.085,0.160,0.160,0.033,-0.015,-0.013
'0:00.722',0.003,0.000,-0.003,0.000,0.003,0.000,0.088,0.170,0.173,0.033,-0.020,-0.015
'0:00.723',0.008,0.008,0.000,-0.005,0.003,0.005,0.085,0.165,0.178,0.040,-0.013,-0.015
'0:00.724',0.010,0.008,-0.003,-0.008,0.005,0.003,0.088,0.175,0.185,0.035,-0.015,-0.020
'0:00.725',0.008,0.010,0.005,-0.008,0.003,0.008,0.085,0.173,0.185,0.043,-0.005,-0.015
'0:00.726',0.003,0.008,0.005,-0.005,0.000,0.005,0.088,0.188,0.195,0.043,-0.005,-0.010
'0:00.727',0.003,0.010,0.008,-0.008,-0.003,0.008,0.085,0.185,0.198,0.050,0.003,-0.003
'0:00.728',0.008,0.013,0.005,-0.010,0.000,0.008,0.085,0.193,0.203,0.040,-0.005,-0.008
'0:00.729',0.010,0.015,0.005,-0.013,0.000,0.010,0.080,0.183,0.195,0.045,-0.003,-0.010
'0:00.730',0.010,0.015,0.005,-0.013,0.003,0.010,0.085,0.188,0.198,0.045,-0.003,-0.013
'0:00.731',0.010,0.015,0.005,-0.013,0.005,0.010,0.088,0.185,0.200,0.058,0.005,-0.008
'0:00.732',0.013,0.015,0.003,-0.013,0.005,0.008,0.095,0.195,0.213,0.055,0.005,-0.005
'0:00.733',0.013,0.015,0.003,-0.013,0.003,0.008,0.090,0.190,0.215,0.060,0.010,-0.003
'0:00.734',0.010,0.018,0.008,-0.013,0.000,0.013,0.088,0.195,0.220,0.063,0.013,-0.003
'0:00.735',0.010,0.020,0.010,-0.015,0.000,0.015,0.080,0.195,0.215,0.068,0.018,-0.003
'0:00.736',0.015,0.028,0.013,-0.020,0.000,0.020,0.080,0.208,0.223,0.063,0.013,-0.003
'0:00.737',0.020,0.030,0.010,-0.023,0.003,0.020,0.080,0.208,0.223,0.058,0.008,0.000
'0:00.738',0.020,0.033,0.013,-0.025,0.003,0.023,0.083,0.210,0.233,0.065,0.010,0.000
'0:00.739',0.020,0.030,0.010,-0.025,0.005,0.020,0.080,0.208,0.230,0.073,0.015,-0.005
'0:00.740',0.020,0.030,0.010,-0.025,0.005,0.020,0.083,0.218,0.240,0.083,0.023,-0.008
'0:00.741',0.018,0.028,0.010,-0.023,0.005,0.018,0.083,0.220,0.243,0.080,0.023,-0.005
'0:00.742',0.018,0.035,0.018,-0.025,0.000,0.025,0.088,0.225,0.253,0.080,0.023,0.008
'0:00.743',0.018,0.038,0.020,-0.028,0.000,0.028,0.088,0.220,0.250,0.078,0.020,0.013
'0:00.744',0.020,0.043,0.023,-0.030,0.000,0.033,0.088,0.225,0.260,0.085,0.028,0.015
'0:00.745',0.020,0.038,0.018,-0.028,0.003,0.028,0.085,0.228,0.263,0.090,0.033,0.015
'0:00.746',0.018,0.038,0.020,-0.028,0.000,0.028,0.090,0.235,0.273,0.098,0.038,0.018
'0:00.747',0.018,0.038,0.020,-0.028,0.000,0.028,0.093,0.235,0.270,0.098,0.033,0.013
'0:00.748',0.023,0.045,0.023,-0.033,0.000,0.033,0.095,0.240,0.275,0.100,0.030,0.005
'0:00.749',0.023,0.045,0.023,-0.033,0.000,0.033,0.095,0.240,0.275,0.100,0.030,-0.003
'0:00.750',0.020,0.048,0.028,-0.033,-0.003,0.038,0.095,0.245,0.283,0.108,0.038,0.003
'0:00.751',0.018,0.048,0.030,-0.033,-0.005,0.038,0.093,0.243,0.283,0.113,0.040,0.010
'0:00.752',0.023,0.055,0.033,-0.038,-0.005,0.043,0.090,0.245,0.288,0.120,0.043,0.015
'0:00.753',0.028,0.058,0.030,-0.040,-0.003,0.043,0.085,0.245,0.290,0.120,0.043,0.010
'0:00.754',0.028,0.060,0.033,-0.043,-0.003,0.045,0.088,0.250,0.300,0.125,0.048,0.010
'0:00.755',0.023,0.058,0.035,-0.040,-0.005,0.045,0.093,0.253,0.303,0.128,0.048,0.015
'0:00.756',0.023,0.058,0.035,-0.040,-0.005,0.045,0.098,0.260,0.308,0.135,0.050,0.020
'0:00.757',0.025,0.055,0.033,-0.040,-0.003,0.043,0.098,0.265,0.310,0.135,0.050,0.020
'0:00.758',0.025,0.058,0.033,-0.040,-0.003,0.045,0.095,0.275,0.318,0.140,0.055,0.020
'0:00.759',0.023,0.060,0.038,-0.040,-0.005,0.048,0.095,0.278,0.318,0.143,0.060,0.023
'0:00.760',0.025,0.068,0.043,-0.045,-0.008,0.055,0.093,0.283,0.323,0.148,0.063,0.028
'0:00.761',0.028,0.070,0.043,-0.048,-0.008,0.058,0.090,0.280,0.323,0.150,0.060,0.030
'0:00.762',0.025,0.070,0.045,-0.048,-0.010,0.058,0.093,0.283,0.333,0.155,0.063,0.030
'0:00.763',0.020,0.065,0.048,-0.043,-0.013,0.055,0.100,0.285,0.335,0.158,0.065,0.028
'0:00.764',0.018,0.068,0.050,-0.043,-0.015,0.058,0.105,0.293,0.343,0.163,0.070,0.030
'0:00.765',0.020,0.070,0.050,-0.045,-0.013,0.058,0.105,0.298,0.345,0.160,0.070,0.030
'0:00.766',0.028,0.075,0.048,-0.050,-0.010,0.060,0.100,0.303,0.355,0.165,0.073,0.030
'0:00.767',0.033,0.078,0.045,-0.053,-0.008,0.060,0.095,0.298,0.360,0.168,0.073,0.028
'0:00.768',0.035,0.083,0.048,-0.058,-0.005,0.065,0.093,0.295,0.365,0.175,0.073,0.030
'0:00.769',0.035,0.085,0.050,-0.060,-0.005,0.068,0.090,0.295,0.363,0.175,0.068,0.033
'0:00.770',0.033,0.088,0.055,-0.060,-0.010,0.070,0.090,0.305,0.368,0.180,0.070,0.035
'0:00.771',0.030,0.085,0.055,-0.058,-0.013,0.070,0.090,0.310,0.370,0.180,0.073,0.035
'0:00.772',0.030,0.085,0.055,-0.058,-0.013,0.070,0.093,0.315,0.378,0.190,0.083,0.033
'0:00.773',0.033,0.088,0.055,-0.060,-0.010,0.070,0.095,0.315,0.385,0.195,0.090,0.033
'0:00.774',0.033,0.093,0.060,-0.063,-0.013,0.075,0.098,0.323,0.398,0.203,0.098,0.040
'0:00.775',0.030,0.093,0.063,-0.063,-0.015,0.078,0.098,0.328,0.400,0.203,0.100,0.045
'0:00.776',0.033,0.095,0.063,-0.063,-0.015,0.078,0.095,0.335,0.403,0.208,0.105,0.048
'0:00.777',0.038,0.098,0.060,-0.065,-0.010,0.078,0.090,0.338,0.400,0.213,0.103,0.045
'0:00.778',0.043,0.105,0.063,-0.073,-0.010,0.083,0.088,0.345,0.405,0.225,0.105,0.048
'0:00.779',0.040,0.110,0.070,-0.075,-0.015,0.088,0.093,0.348,0.410,0.228,0.105,0.053
'0:00.780',0.038,0.113,0.075,-0.075,-0.018,0.093,0.095,0.350,0.420,0.228,0.108,0.058
'0:00.781',0.038,0.110,0.073,-0.073,-0.018,0.090,0.095,0.348,0.425,0.225,0.108,0.055
'0:00.782',0.040,0.110,0.070,-0.075,-0.015,0.090,0.095,0.350,0.438,0.235,0.113,0.055
'0:00.783',0.040,0.113,0.073,-0.078,-0.015,0.090,0.095,0.355,0.443,0.243,0.115,0.060
'0:00.784',0.043,0.118,0.075,-0.080,-0.015,0.095,0.095,0.365,0.450,0.250,0.120,0.068
'0:00.785',0.045,0.118,0.073,-0.080,-0.010,0.093,0.093,0.370,0.453,0.250,0.120,0.070
'0:00.786',0.050,0.118,0.068,-0.083,-0.008,0.093,0.093,0.378,0.460,0.258,0.125,0.068
'0:00.787',0.050,0.118,0.068,-0.085,-0.008,0.093,0.098,0.385,0.465,0.263,0.128,0.065
'0:00.788',0.050,0.125,0.075,-0.088,-0.013,0.100,0.098,0.390,0.473,0.273,0.133,0.068
'0:00.789',0.050,0.130,0.080,-0.090,-0.015,0.105,0.093,0.388,0.475,0.275,0.130,0.070
'0:00.790',0.053,0.138,0.085,-0.095,-0.015,0.110,0.090,0.390,0.483,0.280,0.133,0.078
'0:00.791',0.053,0.138,0.085,-0.095,-0.015,0.110,0.093,0.393,0.488,0.283,0.138,0.080
'0:00.792',0.053,0.138,0.085,-0.095,-0.015,0.110,0.095,0.403,0.498,0.290,0.148,0.085
'0:00.793',0.053,0.135,0.083,-0.093,-0.013,0.108,0.093,0.408,0.503,0.293,0.153,0.088
'0:00.794',0.055,0.138,0.083,-0.095,-0.013,0.110,0.088,0.413,0.513,0.298,0.155,0.090
'0:00.795',0.055,0.140,0.085,-0.098,-0.013,0.113,0.093,0.418,0.518,0.300,0.155,0.090
'0:00.796',0.055,0.145,0.090,-0.100,-0.018,0.118,0.103,0.425,0.523,0.310,0.158,0.093
'0:00.797',0.055,0.148,0.095,-0.100,-0.020,0.120,0.105,0.428,0.523,0.313,0.158,0.090
'0:00.798',0.058,0.155,0.098,-0.105,-0.020,0.125,0.100,0.430,0.528,0.315,0.163,0.090
'0:00.799',0.060,0.158,0.098,-0.110,-0.018,0.128,0.095,0.433,0.533,0.318,0.168,0.090
'0:00.800',0.063,0.163,0.100,-0.113,-0.018,0.130,0.095,0.438,0.540,0.328,0.175,0.095
'0:00.801',0.063,0.163,0.100,-0.113,-0.018,0.133,0.095,0.440,0.540,0.338,0.175,0.098
'0:00.802',0.065,0.168,0.103,-0.115,-0.018,0.135,0.093,0.443,0.545,0.348,0.178,0.100
